run-id,episode,total_reward,avg_reward,avg_waiting_time,epsilon,lr,gamma
policy_v2_explored,174,-37.101,-1.5459,1.5459,0.0913,0.05,0.99
policy_v2_explored,175,-84.9599,-3.54,3.54,0.09125,0.05,0.99
policy_v2_explored,176,-267.4676,-11.1445,11.1445,0.0912,0.05,0.99
policy_v2_explored,177,-54.9599,-2.29,2.29,0.09115,0.05,0.99
policy_v2_explored,178,-64.9599,-2.7067,2.7067,0.0911,0.05,0.99
policy_v2_explored,179,-270.4676,-11.2695,11.2695,0.09105,0.05,0.99
policy_v2_explored,180,-45.6462,-1.9019,1.9019,0.091,0.05,0.99
policy_v2_explored,181,-37.101,-1.5459,1.5459,0.09095,0.05,0.99
policy_v2_explored,182,-56.9599,-2.3733,2.3733,0.0909,0.05,0.99
policy_v2_explored,183,-49.7883,-2.0745,2.0745,0.09085,0.05,0.99
policy_v2_explored,184,-65.9952,-2.7498,2.7498,0.0908,0.05,0.99
policy_v2_explored,185,-56.9599,-2.3733,2.3733,0.09075,0.05,0.99
policy_v2_explored,186,-36.9599,-1.54,1.54,0.0907,0.05,0.99
policy_v2_explored,187,-46.9599,-1.9567,1.9567,0.09065,0.05,0.99
policy_v2_explored,188,-44.9599,-1.8733,1.8733,0.0906,0.05,0.99
policy_v2_explored,189,-46.9599,-1.9567,1.9567,0.09055,0.05,0.99
policy_v2_explored,190,-267.4676,-11.1445,11.1445,0.0905,0.05,0.99
policy_v2_explored,191,-351.9599,-14.665,14.665,0.09045,0.05,0.99
policy_v2_explored,192,-36.9599,-1.54,1.54,0.0904,0.05,0.99
policy_v2_explored,193,-76.9599,-3.2067,3.2067,0.09035,0.05,0.99
policy_v2_explored,194,-66.9599,-2.79,2.79,0.0903,0.05,0.99
policy_v2_explored,195,-67.9599,-2.8317,2.8317,0.09025,0.05,0.99
policy_v2_explored,196,-37.101,-1.5459,1.5459,0.0902,0.05,0.99
policy_v2_explored,197,-58.1315,-2.4221,2.4221,0.09015,0.05,0.99
policy_v2_explored,198,-76.9599,-3.2067,3.2067,0.0901,0.05,0.99
policy_v2_explored,199,-66.9599,-2.79,2.79,0.09005,0.05,0.99
policy_v2_explored,200,-361.9599,-15.0817,15.0817,0.09,0.05,0.99
policy_v2_explored,201,-77.9599,-3.2483,3.2483,0.08995,0.05,0.99
policy_v2_explored,202,-76.9599,-3.2067,3.2067,0.0899,0.05,0.99
policy_v2_explored,203,-66.1363,-2.7557,2.7557,0.08985,0.05,0.99
