run-id,episode,total_reward,avg_reward,avg_waiting_time,epsilon,lr,gamma
policy_v1,221,-66.9599,-2.79,2.79,0.2337,0.1,0.95
policy_v1,222,-334.7883,-13.9495,13.9495,0.2334,0.1,0.95
policy_v1,223,-335.4676,-13.9778,13.9778,0.2331,0.1,0.95
policy_v1,224,-530.1363,-22.089,22.089,0.2328,0.1,0.95
policy_v1,225,-136.1315,-5.6721,5.6721,0.2325,0.1,0.95
policy_v1,226,-433.1315,-18.0471,18.0471,0.2322,0.1,0.95
policy_v1,227,-332.5051,-13.8544,13.8544,0.2319,0.1,0.95
policy_v1,228,-555.1021,-23.1293,23.1293,0.2316,0.1,0.95
policy_v1,229,-331.9599,-13.8317,13.8317,0.2313,0.1,0.95
policy_v1,230,-47.101,-1.9625,1.9625,0.231,0.1,0.95
policy_v1,231,-261.6462,-10.9019,10.9019,0.2307,0.1,0.95
policy_v1,232,-46.9599,-1.9567,1.9567,0.2304,0.1,0.95
policy_v1,233,-539.9599,-22.4983,22.4983,0.2301,0.1,0.95
policy_v1,234,-437.9448,-18.2477,18.2477,0.2298,0.1,0.95
policy_v1,235,-46.9599,-1.9567,1.9567,0.2295,0.1,0.95
policy_v1,236,-56.9599,-2.3733,2.3733,0.2292,0.1,0.95
policy_v1,237,-136.2726,-5.678,5.678,0.2289,0.1,0.95
policy_v1,238,-78.1315,-3.2555,3.2555,0.2286,0.1,0.95
policy_v1,239,-180.9456,-7.5394,7.5394,0.2283,0.1,0.95
policy_v1,240,-47.1315,-1.9638,1.9638,0.228,0.1,0.95
policy_v1,241,-166.9599,-6.9567,6.9567,0.2277,0.1,0.95
policy_v1,242,-617.6087,-25.7337,25.7337,0.2274,0.1,0.95
policy_v1,243,-439.9599,-18.3317,18.3317,0.2271,0.1,0.95
policy_v1,244,-64.9599,-2.7067,2.7067,0.2268,0.1,0.95
policy_v1,245,-559.9599,-23.3317,23.3317,0.2265,0.1,0.95
policy_v1,246,-163.9599,-6.8317,6.8317,0.2262,0.1,0.95
policy_v1,247,-164.5051,-6.8544,6.8544,0.2259,0.1,0.95
policy_v1,248,-175.9599,-7.3317,7.3317,0.2256,0.1,0.95
policy_v1,249,-56.9599,-2.3733,2.3733,0.2253,0.1,0.95
policy_v1,250,-47.9599,-1.9983,1.9983,0.225,0.1,0.95
policy_v1,251,-55.9599,-2.3317,2.3317,0.2247,0.1,0.95
policy_v1,252,-52.2936,-2.1789,2.1789,0.2244,0.1,0.95
policy_v1,253,-242.6087,-10.1087,10.1087,0.2241,0.1,0.95
policy_v1,254,-920.6087,-38.3587,38.3587,0.2238,0.1,0.95
policy_v1,255,-564.4676,-23.5195,23.5195,0.2235,0.1,0.95
policy_v1,256,-266.9599,-11.1233,11.1233,0.2232,0.1,0.95
policy_v1,257,-63.6462,-2.6519,2.6519,0.2229,0.1,0.95
policy_v1,258,-716.1363,-29.839,29.839,0.2226,0.1,0.95
policy_v1,259,-362.296,-15.0957,15.0957,0.2223,0.1,0.95
policy_v1,260,-175.9599,-7.3317,7.3317,0.222,0.1,0.95
policy_v1,261,-36.1315,-1.5055,1.5055,0.2217,0.1,0.95
policy_v1,262,-159.6462,-6.6519,6.6519,0.2214,0.1,0.95
policy_v1,263,-48.1363,-2.0057,2.0057,0.2211,0.1,0.95
policy_v1,264,-68.9599,-2.8733,2.8733,0.2208,0.1,0.95
policy_v1,265,-439.1363,-18.2973,18.2973,0.2205,0.1,0.95
policy_v1,266,-364.101,-15.1709,15.1709,0.2202,0.1,0.95
policy_v1,267,-45.1363,-1.8807,1.8807,0.2199,0.1,0.95
policy_v1,268,-134.1363,-5.589,5.589,0.2196,0.1,0.95
policy_v1,269,-93.9456,-3.9144,3.9144,0.2193,0.1,0.95
policy_v1,270,-332.7883,-13.8662,13.8662,0.219,0.1,0.95
policy_v1,271,-353.6087,-14.7337,14.7337,0.2187,0.1,0.95
policy_v1,272,-339.9599,-14.165,14.165,0.2184,0.1,0.95
policy_v1,273,-38.1363,-1.589,1.589,0.2181,0.1,0.95
policy_v1,274,-75.1315,-3.1305,3.1305,0.2178,0.1,0.95
policy_v1,275,-28.3079,-1.1795,1.1795,0.2175,0.1,0.95
policy_v1,276,-155.9599,-6.4983,6.4983,0.2172,0.1,0.95
policy_v1,277,-44.8188,-1.8675,1.8675,0.2169,0.1,0.95
policy_v1,278,-158.9456,-6.6227,6.6227,0.2166,0.1,0.95
policy_v1,279,-353.9599,-14.7483,14.7483,0.2163,0.1,0.95
policy_v1,280,-56.9599,-2.3733,2.3733,0.216,0.1,0.95
policy_v1,281,-47.9599,-1.9983,1.9983,0.2157,0.1,0.95
policy_v1,282,-48.9599,-2.04,2.04,0.2154,0.1,0.95
policy_v1,283,-175.9599,-7.3317,7.3317,0.2151,0.1,0.95
policy_v1,284,-46.3079,-1.9295,1.9295,0.2148,0.1,0.95
policy_v1,285,-168.9599,-7.04,7.04,0.2145,0.1,0.95
policy_v1,286,-165.9599,-6.915,6.915,0.2142,0.1,0.95
policy_v1,287,-232.4676,-9.6861,9.6861,0.2139,0.1,0.95
policy_v1,288,-67.9647,-2.8319,2.8319,0.2136,0.1,0.95
policy_v1,289,-46.9599,-1.9567,1.9567,0.2133,0.1,0.95
policy_v1,290,-56.1315,-2.3388,2.3388,0.213,0.1,0.95
policy_v1,291,-46.1363,-1.9223,1.9223,0.2127,0.1,0.95
policy_v1,292,-615.6087,-25.6504,25.6504,0.2124,0.1,0.95
policy_v1,293,-54.9599,-2.29,2.29,0.2121,0.1,0.95
policy_v1,294,-323.1363,-13.464,13.464,0.2118,0.1,0.95
policy_v1,295,-137.9599,-5.7483,5.7483,0.2115,0.1,0.95
policy_v1,296,-35.9599,-1.4983,1.4983,0.2112,0.1,0.95
policy_v1,297,-56.9599,-2.3733,2.3733,0.2109,0.1,0.95
policy_v1,298,-38.9599,-1.6233,1.6233,0.2106,0.1,0.95
policy_v1,299,-67.9599,-2.8317,2.8317,0.2103,0.1,0.95
policy_v1,300,-56.9599,-2.3733,2.3733,0.21,0.1,0.95
policy_v1,301,-172.9456,-7.2061,7.2061,0.2097,0.1,0.95
policy_v1,302,-361.9599,-15.0817,15.0817,0.2094,0.1,0.95
policy_v1,303,-48.9599,-2.04,2.04,0.2091,0.1,0.95
policy_v1,304,-340.1315,-14.1721,14.1721,0.2088,0.1,0.95
policy_v1,305,-40.9599,-1.7067,1.7067,0.2085,0.1,0.95
policy_v1,306,-145.9599,-6.0817,6.0817,0.2082,0.1,0.95
policy_v1,307,-136.6462,-5.6936,5.6936,0.2079,0.1,0.95
policy_v1,308,-66.0867,-2.7536,2.7536,0.2076,0.1,0.95
policy_v1,309,-38.9599,-1.6233,1.6233,0.2073,0.1,0.95
policy_v1,310,-36.9599,-1.54,1.54,0.207,0.1,0.95
policy_v1,311,-38.1363,-1.589,1.589,0.2067,0.1,0.95
policy_v1,312,-37.9599,-1.5817,1.5817,0.2064,0.1,0.95
policy_v1,313,-129.101,-5.3792,5.3792,0.2061,0.1,0.95
